Timestep 	 Mobile atoms 	 Crystalline atoms 	 Alpha 	 Crystal size (if single crystal)
18100 	 8558 	 201882 	 0.9593328264588481 	 58.66321576349722
18200 	 8292 	 202148 	 0.9605968447063296 	 58.68896936698681
18300 	 8033 	 202407 	 0.9618275993157195 	 58.714023544916415
18400 	 7796 	 202644 	 0.9629538110625356 	 58.73693084878263
18500 	 7527 	 202913 	 0.9642320851549135 	 58.76290949146558
18600 	 7267 	 203173 	 0.9654675917126022 	 58.787997148955824
18700 	 7038 	 203402 	 0.966555787873028 	 58.810075864446134
18800 	 6798 	 203642 	 0.9676962554647406 	 58.83319735211521
18900 	 6570 	 203870 	 0.9687796996768675 	 58.855145944844146
19000 	 6351 	 204089 	 0.9698203763543053 	 58.876212743022506
19100 	 6135 	 204305 	 0.9708467971868466 	 58.89697619769267
19200 	 5916 	 204524 	 0.9718874738642843 	 58.91801309808336
19300 	 5715 	 204725 	 0.9728426154723436 	 58.93730772570509
19400 	 5517 	 204923 	 0.9737835012355066 	 58.956302030040725
19500 	 5331 	 205109 	 0.9746673636190838 	 58.97413402237557
19600 	 5174 	 205266 	 0.9754134195019958 	 58.989177369470056
19700 	 5028 	 205412 	 0.9761072039536209 	 59.003159842257354
19800 	 4861 	 205579 	 0.976900779319521 	 59.01914537149029
19900 	 4696 	 205744 	 0.9776848507888234 	 59.03493095728943
20000 	 4529 	 205911 	 0.9784784261547235 	 59.05089929211129
20100 	 4376 	 206064 	 0.9792054742444403 	 59.06552138738608
20200 	 4219 	 206221 	 0.9799515301273523 	 59.0805182374761
20300 	 4069 	 206371 	 0.9806643223721726 	 59.09483932976524
20400 	 3903 	 206537 	 0.9814531457897738 	 59.11067991825376
20500 	 3775 	 206665 	 0.9820613951720205 	 59.122888553251215
20600 	 3647 	 206793 	 0.9826696445542672 	 59.1350921482634
20700 	 3533 	 206907 	 0.9832113666603307 	 59.14595673602925
20800 	 3405 	 207035 	 0.9838196160425775 	 59.15815081651697
20900 	 3290 	 207150 	 0.9843660900969398 	 59.16910215018188
21000 	 3185 	 207255 	 0.984865044668314 	 59.179097654753406
21100 	 3083 	 207357 	 0.9853497433947919 	 59.188804341342404
21200 	 2989 	 207451 	 0.9857964265348793 	 59.197746901101866
21300 	 2891 	 207549 	 0.986262117468162 	 59.20706711954825
21400 	 2795 	 207645 	 0.986718304504847 	 59.216194285222564
21500 	 2689 	 207751 	 0.98722201102452 	 59.226268929933504
21600 	 2592 	 207848 	 0.9876829500095039 	 59.23548517791448
21700 	 2504 	 207936 	 0.9881011214597986 	 59.24384382975538
21800 	 2416 	 208024 	 0.9885192929100931 	 59.25220012363474
21900 	 2324 	 208116 	 0.988956472153583 	 59.26093372969073
22000 	 2262 	 208178 	 0.9892510929481088 	 59.26681796907733
22100 	 2187 	 208253 	 0.9896074890705189 	 59.27393443936579
22200 	 2121 	 208319 	 0.9899211176582399 	 59.280195519991715
22300 	 2059 	 208381 	 0.9902157384527657 	 59.286075936661206
22400 	 1980 	 208460 	 0.990591142368371 	 59.29356703590091
22500 	 1902 	 208538 	 0.9909617943356777 	 59.30096145451375
22600 	 1840 	 208600 	 0.9912564151302033 	 59.30683775412289
22700 	 1767 	 208673 	 0.991603307356016 	 59.31375513064386
22800 	 1712 	 208728 	 0.9918646645124501 	 59.318965787130104
22900 	 1668 	 208772 	 0.9920737502375974 	 59.32313365331179
23000 	 1605 	 208835 	 0.992373122980422 	 59.329100260502265
