Timestep 	 0 Neighbours 	 1 Neighbour  	 2 Neighbours  	 3 Neighbours  	 4 Neighbours 	 5 Neighbours 	 6 Neighbours 	 0 Fraction 	 1 Fraction  	 2 Fraction  	 3 Fraction  	 4 Fraction 	 5 Fraction 	 6 Fraction
21700 	 0 	 125 	 6980 	 19279 	 42446 	 71868 	 67238 	 0.0 	 0.0006011465066174208 	 0.03356802092951677 	 0.09271602800861804 	 0.20413011695906433 	 0.34562557710064634 	 0.32335911049553706
21800 	 0 	 129 	 6977 	 19296 	 42461 	 71887 	 67274 	 0.0 	 0.0006201207552974657 	 0.03353939930008076 	 0.09275852786216975 	 0.2041158712456255 	 0.3455707033803792 	 0.3233953774564473
21900 	 0 	 130 	 6975 	 19321 	 42459 	 71939 	 67292 	 0.0 	 0.0006246516365872878 	 0.03351496280920256 	 0.09283764823463837 	 0.20401602952199735 	 0.3456678006496377 	 0.3233389071479367
22000 	 0 	 129 	 6976 	 19330 	 42461 	 71975 	 67307 	 0.0 	 0.0006196620200021136 	 0.03350978489561817 	 0.09285323136930895 	 0.20396487621170345 	 0.3457377820903266 	 0.32331466341304077
22100 	 0 	 128 	 6986 	 19319 	 42475 	 72011 	 67334 	 0.0 	 0.0006146370040287535 	 0.03354573523550681 	 0.09276697094399601 	 0.2039586464540727 	 0.34578613513370754 	 0.32332787522868817
22200 	 0 	 124 	 6980 	 19333 	 42498 	 72029 	 67355 	 0.0 	 0.0005952409525775374 	 0.033506305233800084 	 0.09280478496920588 	 0.20400443550516276 	 0.34576298849360837 	 0.32332624484564537
22300 	 0 	 124 	 6983 	 19327 	 42531 	 72045 	 67371 	 0.0 	 0.0005950638493912593 	 0.03351073274434809 	 0.0927483791708457 	 0.20410210143919072 	 0.34573689539833286 	 0.32330682739789135
22400 	 0 	 121 	 6995 	 19334 	 42544 	 72079 	 67387 	 0.0 	 0.0005804470881703924 	 0.03355559819629665 	 0.09274680993955675 	 0.2040871150340593 	 0.3457689724647414 	 0.32326105727717547
22500 	 0 	 122 	 6992 	 19344 	 42565 	 72102 	 67413 	 0.0 	 0.0005850252711735991 	 0.033528661442998396 	 0.09276007250477131 	 0.20411148088118233 	 0.34574993526359704 	 0.3232648246362773
22600 	 0 	 123 	 6981 	 19359 	 42585 	 72122 	 67430 	 0.0 	 0.0005896452540747843 	 0.033465963566634706 	 0.09280441035474593 	 0.20414669223394055 	 0.3457430488974113 	 0.3232502396931927
22700 	 0 	 126 	 6979 	 19356 	 42609 	 72154 	 67449 	 0.0 	 0.0006038155391449781 	 0.03344467180708573 	 0.09275756806103329 	 0.2041902881541934 	 0.34577544771005353 	 0.32322820872848906
22800 	 0 	 125 	 6981 	 19373 	 42608 	 72178 	 67463 	 0.0 	 0.0005988655091794105 	 0.033445440956651716 	 0.09281457207466176 	 0.20413169292093059 	 0.34579931777241196 	 0.32321011076616457
22900 	 0 	 125 	 6988 	 19370 	 42623 	 72185 	 67481 	 0.0 	 0.0005987392945414137 	 0.03347192152204319 	 0.09278064108213745 	 0.20416051960990939 	 0.34575996781177554 	 0.32322821067959306
23000 	 0 	 125 	 6984 	 19382 	 42634 	 72203 	 67507 	 0.0 	 0.0005985586707209041 	 0.033442670050518354 	 0.0928101132473005 	 0.2041516029401202 	 0.3457418536164915 	 0.32325520147484854
